Time UTC,Open,High,Low,Close,Volume,Trades
2020-01-01T00:00:00.000Z,136350.00,136677.09,136186.36,136333.00,4.23137577,115
2020-01-01T01:00:00.000Z,136186.36,137000.00,136186.36,136989.88,3.50243514,79
2020-01-01T02:00:00.000Z,136989.94,137500.00,136255.82,137489.95,1.55533126,85
2020-01-01T03:00:00.000Z,137200.00,137599.99,136881.01,136881.01,1.14243585,58
2020-01-01T04:00:00.000Z,137479.96,137479.96,136600.03,136600.03,0.79873616,57
2020-01-01T05:00:00.000Z,137358.83,137371.78,136600.71,137295.33,1.15051023,31
2020-01-01T06:00:00.000Z,137373.02,137489.99,136621.07,137476.37,0.29339056,17
2020-01-01T07:00:00.000Z,136634.24,137500.00,136634.24,136738.30,0.67769376,25
2020-01-01T08:00:00.000Z,137000.00,137297.74,136480.00,136480.00,1.19735689,32
2020-01-01T09:00:00.000Z,136999.96,136999.96,136484.69,136999.37,0.10720337,10
2020-01-01T10:00:00.000Z,137000.01,137497.43,136494.14,137495.80,0.09938704,6
2020-01-01T11:00:00.000Z,137482.28,137498.01,136480.14,136485.32,1.11908216,30
2020-01-01T12:00:00.000Z,137442.70,137449.81,136496.25,136523.81,0.19642725,8
2020-01-01T13:00:00.000Z,137406.55,137450.00,137000.01,137450.00,0.02203406,6
2020-01-01T14:00:00.000Z,137431.28,137433.35,136803.26,137411.23,0.82475150,19
2020-01-01T15:00:00.000Z,137403.07,137515.07,136539.22,137299.99,1.08786769,34
2020-01-01T16:00:00.000Z,137299.99,137300.00,136750.27,137299.98,0.55232540,37
2020-01-01T17:00:00.000Z,137000.39,137490.00,137000.01,137490.00,6.74600542,61
2020-01-01T18:00:00.000Z,137490.00,137501.01,137151.01,137501.01,14.49774978,77
2020-01-01T19:00:00.000Z,137501.01,137600.00,137151.03,137203.76,3.45662674,135
2020-01-01T20:00:00.000Z,137203.76,137600.00,137203.76,137599.94,1.39127499,86
2020-01-01T21:00:00.000Z,137599.88,137600.00,137251.02,137600.00,1.65543880,73
2020-01-01T22:00:00.000Z,137599.60,137599.60,136600.00,136601.00,3.78353204,132
2020-01-01T23:00:00.000Z,136601.00,137414.36,136485.00,136500.00,2.94123789,106
2020-01-02T00:00:00.000Z,136994.57,137193.12,136485.00,137130.84,2.29164333,62
2020-01-02T01:00:00.000Z,137125.88,137194.31,136000.00,136000.02,5.96887423,80
2020-01-02T02:00:00.000Z,136254.99,136254.99,135080.01,136179.41,16.62697564,133
2020-01-02T03:00:00.000Z,135999.91,135999.91,134655.21,135264.51,2.95644905,111
2020-01-02T04:00:00.000Z,134667.64,135975.00,134667.64,135947.13,4.16303844,61
2020-01-02T05:00:00.000Z,135946.65,135946.65,135001.01,135001.01,0.63752419,60
2020-01-02T06:00:00.000Z,135001.01,135872.22,134512.01,134512.01,4.55815630,68
2020-01-02T07:00:00.000Z,134700.01,135199.74,134047.04,134883.89,7.23665635,59
2020-01-02T08:00:00.000Z,134050.01,135238.34,134000.00,135209.73,1.84624988,40
2020-01-02T09:00:00.000Z,135112.36,135112.36,134155.49,135090.85,0.99465207,14
2020-01-02T10:00:00.000Z,134275.19,135670.65,134275.19,134673.61,0.63953646,12
2020-01-02T11:00:00.000Z,135662.40,135662.40,134303.85,135576.22,1.15060949,8
2020-01-02T12:00:00.000Z,135572.89,135572.89,134433.23,135505.04,8.63045841,31
2020-01-02T13:00:00.000Z,134517.02,135504.27,133800.01,134999.64,2.36859235,77
2020-01-02T14:00:00.000Z,134100.06,135278.94,134003.39,134500.01,8.26149713,93
2020-01-02T15:00:00.000Z,134500.04,135243.90,134241.89,134995.65,7.24473771,100
2020-01-02T16:00:00.000Z,134993.91,134993.91,132676.74,133000.00,5.41839932,194
2020-01-02T17:00:00.000Z,132900.00,132999.98,130550.02,131797.75,32.60444067,402
2020-01-02T18:00:00.000Z,131797.72,132500.00,131001.00,132150.60,24.86329619,261
2020-01-02T19:00:00.000Z,132091.49,132499.99,131300.99,132455.43,9.39363456,218
2020-01-02T20:00:00.000Z,132455.24,132455.24,131100.99,131201.79,17.84929950,227
2020-01-02T21:00:00.000Z,131201.79,132113.04,131050.00,131933.12,9.98618747,177
2020-01-02T22:00:00.000Z,131104.50,131933.17,131060.01,131598.14,7.88101583,148
2020-01-02T23:00:00.000Z,131599.98,131889.99,131002.18,131003.11,8.05194398,182
2020-01-03T00:00:00.000Z,131499.75,131499.75,130500.00,130500.03,11.55730330,194
2020-01-03T01:00:00.000Z,130500.01,131385.26,129510.01,130491.50,10.90468287,256
2020-01-03T02:00:00.000Z,129520.03,131914.99,129520.01,131899.14,11.54927542,170
2020-01-03T03:00:00.000Z,131896.38,131999.81,131000.01,131784.76,12.29202192,145
